drive	layout_category	hf_repo	revision	size_gib	path
d2	uncensored	cognitivecomputations/Dolphin3.0-Llama3.1-8B	f065677950dfc7e708d518d64cf1f5041ee007a0	14.975	/mnt/models/d2/uncensored/cognitivecomputations/Dolphin3.0-Llama3.1-8B/f065677950dfc7e708d518d64cf1f5041ee007a0
d2	uncensored	cognitivecomputations/Dolphin3.0-Llama3.1-8B	latest	14.975	/mnt/models/d2/uncensored/cognitivecomputations/Dolphin3.0-Llama3.1-8B/latest
d2	raw	deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct	e434a23f91ba5b4923cf6c9d9a238eb4a08e3a11	29.261	/mnt/models/d2/raw/deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct/e434a23f91ba5b4923cf6c9d9a238eb4a08e3a11
d2	raw	deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct	latest	29.261	/mnt/models/d2/raw/deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct/latest
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Llama-70B	b1c0b44b4369b597ad119a196caf79a9c40e141e	131.425	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/b1c0b44b4369b597ad119a196caf79a9c40e141e
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Llama-70B	latest	131.425	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/latest
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Llama-8B	6a6f4aa4197940add57724a7707d069478df56b1	14.966	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Llama-8B/6a6f4aa4197940add57724a7707d069478df56b1
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Llama-8B	latest	14.966	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Llama-8B/latest
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	1df8507178afcc1bef68cd8c393f61a886323761	27.518	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/1df8507178afcc1bef68cd8c393f61a886323761
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	latest	27.518	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/latest
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	711ad2ea6aa40cfca18895e8aca02ab92df1a746	61.034	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/711ad2ea6aa40cfca18895e8aca02ab92df1a746
d2	raw	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	latest	61.034	/mnt/models/d2/raw/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/latest
d2	raw	deepseek-ai/deepseek-coder-6.7b-instruct	e5d64addd26a6a1db0f9b863abf6ee3141936807	0.001	/mnt/models/d2/raw/deepseek-ai/deepseek-coder-6.7b-instruct/e5d64addd26a6a1db0f9b863abf6ee3141936807
d2	raw	google/gemma-3-12b-it	96b6f1eccf38110c56df3a15bffe176da04bfd80	22.737	/mnt/models/d2/raw/google/gemma-3-12b-it/96b6f1eccf38110c56df3a15bffe176da04bfd80
d2	raw	google/gemma-3-12b-it	latest	22.737	/mnt/models/d2/raw/google/gemma-3-12b-it/latest
d2	raw	google/gemma-3-27b-it	005ad3404e59d6023443cb575daa05336842228a	51.134	/mnt/models/d2/raw/google/gemma-3-27b-it/005ad3404e59d6023443cb575daa05336842228a
d2	raw	google/gemma-3-27b-it	latest	51.134	/mnt/models/d2/raw/google/gemma-3-27b-it/latest
d2	raw	google/gemma-3-27b-pt	9fe3c4ebc93fbadb14913801536d022054ef11cc	51.134	/mnt/models/d2/raw/google/gemma-3-27b-pt/9fe3c4ebc93fbadb14913801536d022054ef11cc
d2	raw	google/gemma-3-27b-pt	latest	51.134	/mnt/models/d2/raw/google/gemma-3-27b-pt/latest
